relative_path`tsize_bytes`tlast_write_utc
lc-gasstationsv2/nui/vendor/fontawesome/webfonts/fa-regular-400.ttf	62048	2026-04-20T18:14:02Z
lc-gasstationsv2/nui/vendor/fontawesome/webfonts/fa-regular-400.woff2	25096	2026-04-20T18:14:02Z
lc-gasstationsv2/nui/vendor/fontawesome/webfonts/fa-solid-900.ttf	397728	2026-04-20T18:14:02Z
lc-gasstationsv2/nui/vendor/fontawesome/webfonts/fa-solid-900.woff2	150472	2026-04-20T18:14:02Z
lc-gasstationsv2/nui/vendor/fontawesome/webfonts/fa-v4compatibility.ttf	10136	2026-04-20T18:14:02Z
lc-gasstationsv2/nui/vendor/fontawesome/webfonts/fa-v4compatibility.woff2	4584	2026-04-20T18:14:02Z
lc-gasstationsv2/nui/vendor/jquery/jquery-3.5.1.min.js	89476	2026-04-20T18:14:01Z
lc-gasstationsv2/nui/vendor/select2/select2.min.css	16264	2026-04-20T18:14:02Z
lc-gasstationsv2/nui/vendor/select2/select2.min.js	73163	2026-04-20T18:14:02Z
lc-gasstationsv2/server_utils.lua	738	2026-04-20T18:43:49Z
lc-gasstationsv2/server.lua	66299	2026-04-20T18:44:14Z
LegacyFuel/config.lua	5217	2026-04-20T18:43:49Z
LegacyFuel/functions/functions_client.lua	2172	2026-04-20T18:43:49Z
LegacyFuel/fxmanifest.lua	637	2026-04-20T18:46:54Z
LegacyFuel/html/logo.png	3040	2025-09-12T10:59:14Z
LegacyFuel/html/ui.css	5094	2026-04-20T18:45:01Z
LegacyFuel/html/ui.html	1860	2026-04-20T18:44:52Z
LegacyFuel/html/ui.js	4693	2025-09-12T10:59:14Z
LegacyFuel/html/vendor/jquery/jquery-3.5.1.min.js	89476	2026-04-20T18:14:01Z
LegacyFuel/source/fuel_client.lua	13183	2026-04-20T18:43:49Z
LegacyFuel/source/fuel_server.lua	4581	2026-04-20T18:43:49Z
